Orbital Period,Planetary Radius,Transit Duration,Transit Depth, Star’s Effective Temperature, Star’s Radius, Star’s Surface Gravity, Disposition
0.6047392,1.8625587,1.0403847,1027.6833479,4046.0,0.580337,4.60963,CP
2.5495611,12.9171288,2.6173308,14921.4021936,5659.0,1.03997,4.44653,KP
1.6062693,12.6436029,1.9561305,16725.3019333,5192.0,0.984326,4.4617,PC
0.5182425,1.3485121,0.8565249,831.8920424,3325.0,0.390989,4.88693,CP
3.1644075,14.8814743,2.0576293,5603.4635466,6519.0,1.7234,4.22068,PC
3.0440541,12.1086799,2.5984575,22236.0165376,5523.0,0.809868,4.52192,KP
3.9652485,1.2305102,1.0112593,3680.7544436,3296.0,0.199988,4.96636,PC
2.98278,11.467011,3.109528,6136.231662,6027.0,1.23975,4.29978,PC
16.3469053,3.5059571,3.5865698,2212.4257252,4310.0,0.649613,4.57345,PC
12.9802953,2.4241912,2.5034417,2407.2608671,3614.0,0.491323,4.81257,PC
1.3484961,15.8824638,2.4074261,18463.7636682,6346.0,1.14759,4.38484,KP
3.2541181,14.9476,4.341,13620.0,6102.0,1.28,4.28649,APC
3.7178828,14.6986197,5.5277827,4864.8405125,5818.0,2.0840001,4.33787,PC
9.30992,14.2968,3.464,2220.0,6907.0,3.09,3.63,FP
1.15395,5.48364,2.236,1550.0,6093.0,1.4,4.2,FA
4.73703,25.7144,3.902,2410.0,11600.0,2.48,4.13,FP
2.76676,12.2867389,2.6872178,14947.4387827,5346.0,0.984866,4.48823,KP
2.19296,22.7769,4.586,4933.74,7009.8,2.95,3.6,FP
1.725841,15.0024,3.674,2710.0,7348.0,2.39,3.9,PC
1.1923,30.666,3.119,3730.0,6534.0,2.04,3.95,FP
11.47606,,6.083,3050.0,,,,FP
0.5971314,9.08382,0.468,910.0,7710.0,2.28,3.98,APC
1.4821386,13.7339261,2.1867078,2102.6568299,7066.0,2.6647301,3.78,PC
0.9209526,5.7349089,1.8602735,360.8801529,6553.0,2.8908899,3.65,FP
9.188506,2.16591,2.492,460.0,5876.0,0.98,4.48,CP
13.9028391,2.6136848,2.1264429,647.2701039,5876.0,0.983215,4.48,CP
10.1826983,3.0538057,2.8275109,667.4752458,6153.0,1.14582,4.34814,CP
6.441006,2.56374,1.812,914.0,4867.0,0.8,4.438,CP
3.1743504,14.9172256,2.751086,15457.3247576,5943.0,1.15706,4.42524,KP
20.0731588,4.0506906,3.8449215,1152.9645461,6033.0,1.14849,4.37,FP
2.66903,9.36823,1.548,3110.0,5803.5,1.56,4.07,FP
6.63371,2.75375,2.122,1555.34,4138.1,0.63,4.54,FP
2.94308,45.3525,4.073,4490.0,4437.0,3.13,,PC
341.2811281,4.7531892,6.303026,972.5797241,6058.6,1.39203,4.2,FP
10.8680523,2.90726,2.375,1553.0,4664.0,0.76,4.55,PC
11.1149,14.7645,2.26,900.0,5042.0,4.94,,PC
4.0782392,13.898174,4.8475616,6046.6959687,6501.0,1.74836,4.08,CP
7.14386,22.1531,1.467,11146.4,7860.0,1.91,4.15,FP
7.04083,8.46404,2.979,1580.0,5317.0,0.91,4.49,FP
2.1061569,13.086872,1.4688934,12142.2238514,5380.0,0.940697,4.4337,KP
2.4545635,11.1276,2.321,4248.0,6610.0,1.64,4.15,FP
11.4756978,14.1098,0.808,8341.0,7262.0,2.13,4.0,FP
2.78186,4.92567,2.456,490.0,6819.0,2.21,3.92,FP
6.4410082,4.59203,1.798,7076.0,3469.0,0.53,4.71,FP
2.4887726,,2.632,4852.0,8048.0,,4.438,APC
4.45199,15.8858,2.109,8483.38,6708.3,1.57,4.2,APC
5.0100708,2.3107394,2.0644756,409.4812214,5551.0,0.906282,4.46214,PC
2.2281625,2.56778,2.015,630.0,5731.0,1.02,4.43,PC
4.13812,,3.911,5560.0,4898.4,,,FP
10.95663,23.9726,3.588,3830.0,6456.0,2.07,3.92,APC
2.4997996,13.8516093,2.865171,14621.2059647,5650.0,1.13732,4.28867,KP
1.66226,13.3343,3.321,6030.0,7301.0,1.64,4.23,FP
4.07611,,2.062,1454.18,,,,FP
3.6245513,4.3503,3.042,1299.0,6317.0,1.38,,FP
1.20928,15.1764,1.886,11883.8,5159.8,1.27,4.23,APC
3.5187707,14.0061,2.408,5634.0,6690.0,1.49,4.24,APC
0.7724825,4.1624907,1.3744974,211.3168519,8271.0,2.5027299,3.95,PC
1.6268695,2.36498,3.231,1502.0,5034.0,0.73,4.64,FP
2.32439,,4.453,2704.18,8268.5,,3.93,FP
13.5499,6.24633,1.795,1180.0,6209.0,1.63,4.09,FP
4.43651,19.9664,3.365,1520.0,7101.9,2.32,3.91,FP
3.372877,14.201803,2.63426,17163.60419,6050.0,1.02,4.45061,KP
8.34998,11.1424,1.836,16680.0,4236.0,0.74,4.52,CP
4.0686405,3.7548333,1.8373729,2650.0950013,4236.0,0.741921,4.52,CP
0.5860366,4.906408,0.8098934,410.5241553,5579.0,2.39803,3.67,PC
1.5502952,3.34528,2.938,411.0,7851.0,1.86,4.17,FP
1.80709,4.86242,3.297,450.0,6244.0,2.2,3.84,FP
18.6922101,18.1458,7.765,11126.0,6277.0,1.65,4.09,FP
8.0277326,9.06883,4.284,5705.0,5962.7,1.15,4.38,CP
12.5187279,5.58857,5.38,2320.0,5729.0,0.98,4.47,CP
6.2586065,2.51593,3.201,813.0,5729.0,0.98,4.47,CP
26.3208756,2.71349,4.414,800.0,5729.0,0.98,4.47,CP
18.795547,2.1597669,4.3425576,470.6731965,5729.0,0.977727,4.47,CP
1.3206356,34.7561624,1.6000996,1052.4255997,4919.6,6.3070302,,PC
0.64971,6.23181,2.076,620.0,9994.0,2.59,4.02,FP
4.4780798,11.3678,4.513,1054.0,7947.0,1.83,4.2,PC
3.2887898,10.5135877,3.4367717,7005.7247902,5800.0,1.24175,4.28004,KP
13.7431084,12.05,2.285,5688.0,5941.5,1.34,,FP
16.9487087,45.2204505,4.2887767,156467.5479643,5894.7,1.1179,4.37,FP
3.3686634,42.2321,3.012,3288.0,7518.0,2.68,3.82,FP
11.2071839,17.4989,4.366,3276.0,6152.0,2.24,3.84,FP
4.8878037,5.29152,2.184,4279.0,4757.3,0.76,4.56,KP
2.97164,,1.534,7350.0,8562.5,,,FP
0.660179,6.1672487,1.6349369,473.0939303,8598.7,2.62432,4.1,FP
10.9278415,49.1695,2.468,2743.0,6259.0,2.92,3.59,FP
5.5514888,15.8043,4.335,9493.0,6403.9,1.55,4.16,KP
2.3202418,,2.3817612,5082.9417064,8737.5,,,APC
4.7423709,10.5505922,2.4988145,12650.8110411,5377.0,0.877585,4.42476,KP
1.4810903,20.3402421,4.1588291,6788.5145388,9435.0,2.28773,4.11,KP
3.4741012,21.2912,3.317,15748.0,8894.8,1.62,4.38,KP
6.5011911,,5.5463587,4501.3454064,5485.0,,,FA
6.0360758,9.86763,1.255,987.0,6528.3,1.69,4.21,APC
21.745537,2.10208,4.196,659.0,5704.0,0.93,4.51,PC
1.32003,,3.175,552.468,,,,FP
1.6865822,,2.429,1770.0,,,,FP
13.0727479,35.7944,3.044,4080.0,5709.8,3.59,3.37,FP
2.9258727,24.4055,4.075,6720.0,4884.5,1.3,,FP
0.73774,5.28215,0.636,524.852,6449.5,2.1,3.94,FP
2.7985802,11.9514993,2.3801043,16708.7151957,4920.0,0.906655,4.49371,KP
2.3664127,,2.591,300.0,,,,FP
1.7635881,,3.092,6650.0,7986.1,,,KP
7.3166682,,3.255,3210.0,8730.0,,,PC
3.0771612,,2.6914319,4703.2844346,9311.3,,,PC
3.2077145,,2.708,9640.0,,,,FP
2.2552845,14.688,2.05,20820.0,5787.0,0.96,4.5,KP
1.8824539,8.29008,2.46,1391.0,5900.4,1.13,4.39,FP
15.196,4.96345,1.792,1970.0,5807.0,1.14,,FP
2.1358631,23.6019,1.559,10325.0,5969.0,1.5,4.17,FP
6.7075429,17.4647,2.125,11920.0,6134.3,1.24,,PC
3.5862962,16.4747611,3.3710943,5729.3246858,5704.8,2.00441,3.84,KP
1.8296155,29.3616,2.166,1406.0,7875.0,3.5,3.61,FP
11.1876137,31.8624,3.183,4924.0,7266.0,2.05,4.06,FP
7.8513949,,6.835,22029.0,,,,FP
7.0643978,9.39131,2.424,8268.0,5429.6,0.96,4.44,CP
8.9534775,2.35888,2.696,1136.0,5029.5,0.76,4.61,CP
7.5022708,5.55812,2.605,1760.0,6229.0,1.27,4.31,FP
14.0077666,12.4023108,5.8727493,5924.8349672,6557.7,1.57435,4.18,PC
1.692892,11.2371,2.886,1418.0,9121.5,2.1,4.21,FP
2.6652007,2.35964,3.49,819.0,4043.4,0.56,4.69,FP
1.2615323,8.67407,1.039,2841.0,4927.9,0.78,4.57,APC
6.0344667,4.44029,1.89,1800.0,5586.0,1.05,4.36763,CP
9.6867516,3.00336,2.512,1669.0,4738.1,0.73,4.59,CP
2.1031647,16.7087,5.059,7142.0,6122.0,1.93,3.93,CP
7.6416041,27.538,2.654,6025.0,6496.7,2.05,,FP
5.9294088,10.8101,2.933,10226.0,5095.6,1.06,,FP
5.7484439,2.35215,1.76,1041.0,4534.0,0.69,4.61,CP
1.1967018,10.3239,1.879,824.0,5997.0,1.73,4.0,FP
11.2464616,17.6677,7.391,7576.0,6115.7,2.01,3.89,FP
2.5941968,4.47229,0.861,907.0,6389.0,1.4,4.26,PC
8.5112,,3.486,4172.76,8156.0,,4.35,FP
3.9687994,,1.07,1760.0,5286.9,,,PC
5.5411114,2.04482,2.467,633.0,5332.0,0.82,4.56429,PC
10.6917268,1.79811,3.002,535.0,5332.0,0.82,4.56429,PC
3.6950015,14.1288,4.515,7655.0,7106.7,1.63,4.2,APC
15.7335693,24.3218,3.288,2540.0,6800.0,2.21,3.91,FP
45.9403293,28.3312,3.768,14807.0,6479.3,1.28,,APC
2.2219839,15.4416,1.996,4394.0,7166.8,1.87,,FP
2.3106428,8.76741,1.294,6911.0,5339.9,0.99,4.41,CP
4.05135,14.2359,2.4,1132.23,4974.4,3.85,,FP
5.5376617,15.6557,2.517,5390.0,6689.0,2.06,3.96,PC
4.5960377,16.2166,4.744,5000.0,7649.0,2.12,4.04,PC
3.612771,19.3662,4.142,11794.0,8324.0,1.71,4.28,KP
3.6714717,10.678,2.149,4340.0,5618.0,1.54,4.06,CP
11.535076,12.215808,8.555958,2389.90616,5479.3,2.48771,3.77,CP
0.8352406,6.4875,1.043,2065.0,6105.0,1.24,4.31,FP
2.4919771,2.2187585,1.4338141,2093.9594201,3948.0,0.482388,4.68962,CP
,1.710706,2.726775,878.134108,3773.0,0.577983,4.438,FP
25.5195307,2.9641461,6.6877451,558.3758637,5742.22,1.17321,4.29,CP
1.3812115,2.2402361,2.7372191,117.7553083,6711.0,1.7756799,4.06358,PC
2.3922703,3.5905923,9.0053425,63.575141,6090.0,4.1956,3.29864,PC
0.831542,1.881684,1.985538,248.969585,5824.0,1.1512,4.438,FP
2.6282553,0.9817044,2.0930597,75.2858004,6282.0,1.10743,4.37809,PC
3.4239436,1.7581475,1.9601023,443.6391381,5626.0,0.823019,4.56195,PC
10.983042,2.5070075,3.7478987,725.1724567,5626.0,0.823019,4.56195,PC
17.726449,2.261664,3.4404719,747.7725499,5626.0,0.823019,4.56195,PC
40.7199388,3.2352713,4.2436925,355.619391,5914.0,1.55953,3.98,PC
14.7741056,15.3936,5.504,15041.0,6053.0,1.23,4.3135,APC
79.3739596,2.17454,5.392,1227.0,5168.33,0.77,4.60584,FP
18.1663644,2.80447,2.464,624.0,5572.9,1.14,3.83,PC
105.5850893,2.5033335,11.6068811,462.9116325,5909.57,1.1142,4.26154,PC
